,price,beds,bedrooms,bathrooms,zipcode,neighbourhood,property_type,room_type,accommodates,guests_included,minimum_nights,instant_bookable
23762,99.0,1,1.0,1.0,90401.0,Santa Monica,Condominium,Private room,2,1,30,0
23763,125.0,2,1.0,1.0,91401.0,Valley Glen,Guest suite,Private room,2,1,1,0
23764,125.0,1,1.0,1.0,91302.0,,Camper/RV,Entire home/apt,2,1,1,0
23765,159.0,2,2.0,1.5,90069.0,West Hollywood,Apartment,Entire home/apt,5,4,4,1
23766,100.0,1,1.0,1.0,91205.0,Glendale,Apartment,Entire home/apt,2,2,5,1
23767,499.0,3,2.0,2.0,91030.0,South Pasadena,House,Entire home/apt,6,1,5,1
23768,119.0,2,2.0,1.0,90045.0,Westchester/Playa Del Rey,Apartment,Entire home/apt,5,1,5,1
23769,120.0,1,1.0,1.0,90012.0,Downtown,Condominium,Entire home/apt,2,1,31,0
23770,85.0,1,1.0,1.0,90036.0,Mid-Wilshire,Apartment,Private room,1,1,30,1
23771,45.0,1,1.0,1.0,90020.0,Mid-Wilshire,Apartment,Private room,1,1,30,0
23772,139.0,1,1.0,1.5,90291.0,Venice,Bed and breakfast,Private room,2,1,1,0
23773,85.0,1,1.0,1.0,90292.0,Marina Del Rey,Condominium,Private room,2,1,2,1
23774,130.0,2,2.0,1.0,90056.0,Westchester/Playa Del Rey,House,Private room,4,4,5,1
23775,130.0,2,1.0,1.0,90024.0,Westwood,Apartment,Entire home/apt,4,1,1,1
23776,35.0,1,1.0,0.0,90003.0,South LA,Tiny house,Private room,2,1,2,1
23777,21.0,0,1.0,3.0,90011.0,South LA,House,Shared room,6,1,4,0
23778,200.0,1,0.0,1.0,90028.0,Hollywood,Apartment,Private room,2,1,1,0
23779,373.0,6,3.0,3.5,90038.0,Hollywood,House,Entire home/apt,12,6,1,0
23780,86.0,1,1.0,1.0,91790.0,West Covina,Tiny house,Private room,2,1,1,1
23781,85.0,2,0.0,1.0,91505.0,Burbank,Bungalow,Entire home/apt,3,3,2,0
23782,90.0,1,0.0,1.0,91204.0,Glendale,Cottage,Entire home/apt,2,2,1,1
23783,118.0,1,0.0,1.5,91367.0,Woodland Hills/Warner Center,Bungalow,Private room,2,1,1,0
23784,125.0,1,1.0,1.0,90036.0,Mid-Wilshire,Apartment,Entire home/apt,2,1,3,0
23785,150.0,2,2.0,1.0,90803.0,Long Beach,Condominium,Entire home/apt,6,1,2,1
