date,county,fips,confirmed_cases,deaths,new_confirmed_cases,new_deaths
1/1/2020,Los Angeles,37,0,0,0,0
1/2/2020,Los Angeles,37,0,0,0,0
1/3/2020,Los Angeles,37,0,0,0,0
1/4/2020,Los Angeles,37,0,0,0,0
1/5/2020,Los Angeles,37,0,0,0,0
1/6/2020,Los Angeles,37,0,0,0,0
1/7/2020,Los Angeles,37,0,0,0,0
1/8/2020,Los Angeles,37,0,0,0,0
1/9/2020,Los Angeles,37,0,0,0,0
1/10/2020,Los Angeles,37,0,0,0,0
1/11/2020,Los Angeles,37,0,0,0,0
1/12/2020,Los Angeles,37,0,0,0,0
1/13/2020,Los Angeles,37,0,0,0,0
1/14/2020,Los Angeles,37,0,0,0,0
1/15/2020,Los Angeles,37,0,0,0,0
1/16/2020,Los Angeles,37,0,0,0,0
1/17/2020,Los Angeles,37,0,0,0,0
1/18/2020,Los Angeles,37,0,0,0,0
1/19/2020,Los Angeles,37,0,0,0,0
1/20/2020,Los Angeles,37,0,0,0,0
1/21/2020,Los Angeles,37,0,0,0,0
1/22/2020,Los Angeles,37,0,0,0,0
1/23/2020,Los Angeles,37,0,0,0,0
1/24/2020,Los Angeles,37,0,0,0,0
1/25/2020,Los Angeles,37,0,0,0,0
1/26/2020,Los Angeles,37,1,0,0,0
1/27/2020,Los Angeles,37,1,0,0,0
1/28/2020,Los Angeles,37,1,0,0,0
1/29/2020,Los Angeles,37,1,0,0,0
1/30/2020,Los Angeles,37,1,0,0,0
1/31/2020,Los Angeles,37,1,0,0,0
2/1/2020,Los Angeles,37,1,0,0,0
2/2/2020,Los Angeles,37,1,0,0,0
2/3/2020,Los Angeles,37,1,0,0,0
2/4/2020,Los Angeles,37,1,0,0,0
2/5/2020,Los Angeles,37,1,0,0,0
2/6/2020,Los Angeles,37,1,0,0,0
2/7/2020,Los Angeles,37,1,0,0,0
2/8/2020,Los Angeles,37,1,0,0,0
2/9/2020,Los Angeles,37,1,0,0,0
2/10/2020,Los Angeles,37,1,0,0,0
2/11/2020,Los Angeles,37,1,0,0,0
2/12/2020,Los Angeles,37,1,0,0,0
2/13/2020,Los Angeles,37,1,0,0,0
2/14/2020,Los Angeles,37,1,0,0,0
2/15/2020,Los Angeles,37,1,0,0,0
2/16/2020,Los Angeles,37,1,0,0,0
2/17/2020,Los Angeles,37,1,0,0,0
2/18/2020,Los Angeles,37,1,0,0,0
2/19/2020,Los Angeles,37,1,0,0,0
2/20/2020,Los Angeles,37,1,0,0,0
2/21/2020,Los Angeles,37,1,0,0,0
2/22/2020,Los Angeles,37,1,0,0,0
2/23/2020,Los Angeles,37,1,0,0,0
2/24/2020,Los Angeles,37,1,0,0,0
2/25/2020,Los Angeles,37,1,0,0,0
2/26/2020,Los Angeles,37,1,0,0,0
2/27/2020,Los Angeles,37,1,0,0,0
2/28/2020,Los Angeles,37,1,0,0,0
2/29/2020,Los Angeles,37,1,0,0,0
3/1/2020,Los Angeles,37,1,0,0,0
3/2/2020,Los Angeles,37,1,0,0,0
3/3/2020,Los Angeles,37,1,0,0,0
3/4/2020,Los Angeles,37,7,0,6,0
3/5/2020,Los Angeles,37,11,0,4,0
3/6/2020,Los Angeles,37,13,0,2,0
3/7/2020,Los Angeles,37,14,0,1,0
3/8/2020,Los Angeles,37,14,0,0,0
3/9/2020,Los Angeles,37,19,0,5,0
3/10/2020,Los Angeles,37,20,0,1,0
3/11/2020,Los Angeles,37,29,1,9,1
3/12/2020,Los Angeles,37,32,1,3,0
3/13/2020,Los Angeles,37,40,1,8,0
3/14/2020,Los Angeles,37,54,1,14,0
3/15/2020,Los Angeles,37,69,1,15,0
3/16/2020,Los Angeles,37,94,1,25,0
3/17/2020,Los Angeles,37,147,1,53,0
3/18/2020,Los Angeles,37,192,1,45,0
3/19/2020,Los Angeles,37,231,2,39,1
3/20/2020,Los Angeles,37,295,2,64,0
3/21/2020,Los Angeles,37,353,4,58,2
3/22/2020,Los Angeles,37,411,5,58,1
3/23/2020,Los Angeles,37,543,8,132,3
3/24/2020,Los Angeles,37,670,10,127,2
3/25/2020,Los Angeles,37,814,13,144,3
3/26/2020,Los Angeles,37,1230,21,416,8
3/27/2020,Los Angeles,37,1482,26,252,5
3/28/2020,Los Angeles,37,1818,32,336,6
3/29/2020,Los Angeles,37,2147,37,329,5
3/30/2020,Los Angeles,37,2505,44,358,7
3/31/2020,Los Angeles,37,3037,54,532,10
4/1/2020,Los Angeles,37,3528,66,491,12
4/2/2020,Los Angeles,37,4071,80,543,14
4/3/2020,Los Angeles,37,4605,93,534,13
4/4/2020,Los Angeles,37,5325,119,720,26
4/5/2020,Los Angeles,37,5955,132,630,13
4/6/2020,Los Angeles,37,6391,147,436,15
4/7/2020,Los Angeles,37,6944,173,553,26
4/8/2020,Los Angeles,37,7573,200,629,27
4/9/2020,Los Angeles,37,7984,225,411,25
4/10/2020,Los Angeles,37,8453,244,469,19
4/11/2020,Los Angeles,37,8889,267,436,23
4/12/2020,Los Angeles,37,9197,300,308,33
4/13/2020,Los Angeles,37,9480,326,283,26
4/14/2020,Los Angeles,37,10075,366,595,40
4/15/2020,Los Angeles,37,10517,405,442,39
4/16/2020,Los Angeles,37,10895,457,378,52
4/17/2020,Los Angeles,37,11421,501,526,44
4/18/2020,Los Angeles,37,12051,577,630,76
4/19/2020,Los Angeles,37,12349,601,298,24
4/20/2020,Los Angeles,37,13823,619,1474,18
4/21/2020,Los Angeles,37,15165,666,1342,47
4/22/2020,Los Angeles,37,16449,732,1284,66
4/23/2020,Los Angeles,37,17567,798,1118,66
4/24/2020,Los Angeles,37,18545,850,978,52
4/25/2020,Los Angeles,37,19159,896,614,46
4/26/2020,Los Angeles,37,19567,916,408,20
